,gene_length
AT5G58000,2528.0
AT1G77910,270.0
AT1G52160,3760.0
AT3G28530,78.0
AT2G01540,1609.0
AT1G69325,691.0
AT2G24560,1705.0
AT1G62340,4671.0
AT3G44435,429.0
AT4G39980,2612.0
AT1G52190,4552.0
AT5G46871,769.0
AT3G15930,2247.0
AT3G25420,3005.0
AT5G51060,5263.0
AT1G30400,10591.5
AT4G30070,942.0
AT4G38650,2860.0
AT3G29187,1007.0
AT5G06839,5930.0
AT1G29100,956.5
AT1G12410,2225.0
AT1G05260,1718.0
AT3G09500,1326.0
AT4G23310,3593.0
AT5G22355,2266.0
AT4G06670,6621.0
AT1G73980,4068.0
AT3G15760,1088.0
AT5G57535,135.0
AT1G45035,770.0
AT3G23210,2062.0
AT4G16660,4809.0
AT5G02400,2780.0
AT4G17810,1031.0
AT5G44560,2209.5
AT3G50750,1649.0
AT1G54840,1665.5
AT3G58760,3515.0
AT4G16430,1919.0
AT4G04080,1181.0
AT5G51105,545.0
AT3G50740,1998.0
AT4G25310,1985.0
AT4G03890,1409.0
AT4G29940,5339.5
AT3G42910,3659.0
AT3G15820,2939.0
AT4G13690,2474.0
AT5G63625,1767.0
AT2G15070,3557.0
AT3G42203,2931.0
AT1G66470,1802.0
AT1G77145,1577.0
AT1G76460,3028.0
AT2G26515,1140.0
AT3G21110,3182.0
AT4G09740,2298.0
AT3G42290,2201.0
AT1G26945,1674.0
AT1G16650,3427.0
AT4G18050,5425.5
AT3G55665,666.0
AT3G54120,1215.0
AT5G03520,2050.5
AT5G36293,513.0
AT1G13220,4586.0
AT4G17680,1725.0
AT4G21065,1932.5
AT1G80460,2608.0
AT1G37080,798.0
AT1G76790,1542.0
AT4G33865,1229.0
AT4G24770,2952.5
AT3G43340,991.0
AT3G53900,2373.0
AT4G13968,768.0
AT5G49743,241.0
AT1G64550,4865.0
AT5G30584,7086.0
AT5G64410,4657.0
AT4G32080,881.0
AT1G24110,1305.0
AT5G02750,1316.0
AT3G09940,2822.0
AT3G45410,2677.0
AT3G27910,1050.0
AT1G35400,910.0
AT4G11670,8739.5
AT2G38110,3257.0
AT5G18880,888.0
AT5G27247,147.0
AT2G46960,2341.0
AT4G06603,2505.0
AT5G65500,2961.5
AT2G19803,534.0
AT3G25180,2164.0
AT1G76230,814.0
AT4G06544,1814.0
AT4G39950,2447.5
AT5G09440,1523.0
AT1G18210,1731.0
AT1G60050,2507.0
AT1G72480,2524.0
AT5G22680,1016.0
AT1G02405,754.0
AT3G12400,1998.0
AT4G32520,3425.5
AT1G18850,1866.0
AT1G33350,2432.5
AT2G24350,3304.5
AT1G02280,1985.5
AT2G19893,372.0
AT3G26840,3547.0
AT1G24130,1515.0
AT2G35420,978.0
AT3G10405,2833.0
AT1G05400,1335.5
AT2G13270,1203.0
AT2G19400,3565.0
AT3G46480,2453.0
AT3G55700,2316.0
AT3G29797,538.0
AT4G06614,1209.0
AT5G44170,1159.0
AT3G09540,2553.0
AT5G34665,4713.0
AT4G17280,1765.0
AT2G02190,1826.0
AT5G17130,759.0
AT2G34890,3077.0
AT1G53030,1496.0
AT5G16730,3462.0
AT1G01200,1924.0
AT1G29830,4051.0
AT5G61660,1293.0
AT1G11650,3436.5
AT5G67090,2453.0
AT4G31115,1961.0
AT3G33494,999.0
AT5G17710,2520.0
AT1G04990,2770.0
AT5G32487,2547.0
AT1G28300,3010.0
AT1G53780,4025.5
AT3G12040,1713.5
AT4G05340,376.0
AT4G02260,6367.0
AT1G16210,1655.0
AT2G44680,1917.0
AT4G27510,2661.0
AT4G03070,1432.0
AT1G78260,3537.5
ATMG00900,771.0
AT5G39650,992.0
AT5G14230,3426.5
AT4G07517,3821.0
AT4G35520,6040.0
AT2G39220,2288.0
AT2G37160,4117.0
AT5G28190,2847.0
AT1G14960,988.0
AT4G31330,1275.0
AT3G31410,3103.0
AT3G29390,5221.0
AT3G57810,2194.5
AT2G46370,2870.0
AT2G21390,4967.0
AT5G26642,1236.0
AT4G14695,1473.0
AT5G45700,1180.0
AT3G43522,369.0
AT5G23380,3561.0
AT5G36340,348.0
AT5G27790,1079.0
AT3G58670,2710.0
AT5G66550,1699.0
AT4G01520,2772.0
AT3G48560,2467.0
AT2G36450,555.0
AT2G04340,2105.0
AT5G59010,3091.0
AT5G02290,2659.5
AT4G10200,2570.5
AT2G39060,1872.0
AT3G17600,1175.0
AT1G61566,551.0
AT3G16710,1667.5
AT2G36700,1716.0
AT3G05210,2704.0
AT5G54350,1213.0
AT2G34780,4947.5
AT1G16480,3135.0
AT2G30340,1657.0
AT5G64890,1045.0
AT1G53310,4372.0
AT1G16170,1337.0
AT4G17718,400.0
AT3G62190,1742.0
AT4G14490,1777.0
AT5G31702,2619.0
AT3G45443,1971.0
AT1G43330,995.0
AT1G24420,1685.5
ATMG00665,3819.0
AT5G28090,1233.0
AT1G04910,3511.0
AT1G74690,3613.0
AT5G23880,6027.0
AT1G47310,2090.0
AT1G29195,1078.0
AT5G36662,357.0
AT2G26430,2817.0
AT4G07440,1305.0
AT2G45420,2382.0
AT1G79250,2456.0
AT5G15850,1807.0
AT5G06460,4568.0
AT3G25120,1807.0
AT5G39610,1514.0
AT5G11210,3695.0
AT2G45690,2597.0
AT3G45990,3359.0
AT1G70610,4577.5
AT2G25920,1895.0
AT1G26773,177.0
AT1G13860,3648.0
AT4G35930,2145.0
AT3G46090,1003.0
AT3G12587,1332.0
AT3G45270,2241.0
AT4G28900,4564.0
AT4G23050,4350.5
AT1G17140,1926.0
AT1G09950,1333.0
AT5G17620,2912.0
AT5G15750,1856.0
AT1G33580,1287.0
AT1G72280,2868.0
AT1G20830,2015.0
AT5G54730,3172.5
AT4G16162,2397.0
AT2G28930,2350.0
AT3G24440,2629.0
AT4G00710,3654.0
AT2G13960,1773.0
AT1G32127,1959.0
AT3G21930,1120.0
AT1G33320,2495.0
AT5G32619,550.0
AT3G54350,4893.0
AT4G06623,774.0
AT1G69280,3033.0
AT2G25344,1087.0
AT1G80020,3427.0
AT3G57587,1372.0
AT1G64130,665.0
AT4G31310,1324.5
AT1G34390,3078.0
AT5G01470,1869.0
AT5G53400,2400.0
AT5G06450,1650.0
AT5G54880,1441.0
AT5G03620,3249.0
AT5G05970,4234.0
AT3G22900,1133.0
AT3G07970,2701.0
AT3G16440,1867.0
AT3G54900,1108.0
AT4G05636,582.0
AT3G12150,2730.0
AT1G78460,1140.0
AT1G12200,2646.0
AT5G16340,2103.0
AT5G43060,2989.0
AT3G18830,2587.0
AT1G13390,2134.0
AT3G61390,2253.0
AT2G20680,2781.0
AT5G13830,1177.0
AT4G20235,1822.0
AT3G54450,3566.0
AT3G44540,4605.0
AT5G10470,7381.5
AT1G23060,1978.0
AT2G29150,1250.0
AT1G06270,1770.0
AT3G04060,1837.0
AT5G12370,6030.0
AT4G21585,2254.5
AT5G64100,1681.0
AT1G20060,5756.5
AT5G43460,2424.5
AT4G13320,839.0
AT4G14810,365.0
AT5G20890,3517.0
AT3G22660,1458.0
AT1G36150,1214.0
AT2G41540,3042.5
AT3G30800,1741.0
AT3G23400,1862.0
AT4G06594,4680.0
AT1G76590,1692.0
AT5G49200,1487.0
AT1G04760,1966.5
AT1G34060,1794.5
AT1G55947,579.0
AT5G48100,3418.0
AT1G72470,2346.0
AT5G19840,4026.5
AT5G23860,2013.0
AT3G60520,989.5
AT5G40000,1691.0
AT3G23410,3164.0
AT5G34890,2579.0
AT3G05310,2388.0
AT1G22220,1378.0
AT4G11270,6088.0
AT1G63245,687.0
AT3G25160,2053.0
AT5G45550,2991.0
AT5G64510,1982.0
AT5G54210,921.0
AT1G12830,999.0
AT1G68290,1768.0
AT3G06820,2825.0
AT4G32670,3635.5
AT4G09040,2869.0
AT2G04820,1734.0
AT3G51290,3127.0
AT1G33811,2106.0
AT2G42560,2275.0
AT1G48240,3079.5
AT5G26283,2908.0
AT1G50620,3098.0
AT5G35680,1165.0
AT4G14455,2066.0
AT2G31890,3381.0
AT2G22210,3068.0
AT3G22550,2186.0
AT5G35057,6135.0
AT5G55790,2621.0
AT1G50410,5517.0
AT2G16365,3680.0
AT4G23600,2594.0
AT1G21065,1675.0
AT3G42700,663.0
AT4G01990,1795.0
AT5G53290,1568.0
AT3G44590,1185.5
AT1G69825,434.0
AT5G51050,3098.0
AT1G35760,3810.0
AT3G45940,2946.0
AT3G56390,344.0
AT2G14880,1691.0
AT5G11570,2346.0
AT5G19990,3336.0
AT1G21670,2481.0
AT4G09250,2401.0
AT1G64780,2165.0
AT3G11410,2069.0
AT3G50290,1585.0
AT5G09470,1564.0
AT1G51230,409.0
AT5G67020,1514.0
AT5G07290,5863.0
AT1G23080,3443.0
AT5G35160,2629.0
AT2G18880,6807.0
AT3G25725,4754.0
AT5G66816,600.0
AT2G31730,1635.0
AT3G29590,1741.0
AT1G33240,3341.0
AT3G19720,5233.0
AT4G01883,2103.0
AT4G29820,1837.0
AT1G20190,1298.5
AT4G23030,1821.0
AT4G37380,2123.0
AT3G24385,692.0
AT2G16060,1247.0
AT1G53250,1925.0
AT3G03280,968.0
AT2G07623,941.0
AT4G24300,1234.0
AT3G09550,3253.0
AT5G51210,877.0
AT1G02450,623.0
AT5G15690,655.0
AT1G10090,5888.0
AT1G07120,1555.0
AT5G21900,2362.0
AT5G27450,2683.0
AT5G45980,1951.0
AT2G01940,2803.0
AT5G50800,2245.0
AT2G33380,1683.0
AT1G77815,303.0
AT2G14680,5724.0
AT5G02370,2575.0
AT1G13550,1347.0
AT5G49760,5051.0
AT1G07160,1920.0
AT1G29200,2756.0
AT2G36630,2840.0
AT3G12203,3278.0
AT2G22010,6101.5
AT4G30630,2127.0
AT3G32027,1353.0
AT5G20730,5669.0
AT1G06780,3803.5
AT4G33080,4687.5
AT3G50300,1651.0
AT3G42434,5199.0
AT3G45080,1205.0
AT1G17235,900.0
AT1G53070,1315.0
AT1G64110,5002.0
AT3G58810,2108.5
AT5G36070,883.0
AT3G12770,2332.0
AT1G01410,1086.0
AT5G10250,2552.0
AT1G55470,1835.0
AT4G32950,1973.5
AT1G22620,8824.0
AT5G27603,276.0
AT2G40640,2252.0
AT2G18080,2845.0
AT2G45770,2654.0
AT1G10390,5919.0
AT4G36570,1473.0
AT5G26910,4515.0
AT1G21640,4360.0
AT4G31490,4785.0
AT3G28740,1856.0
AT1G09560,1311.0
AT4G18440,2909.0
AT4G04310,3824.0
AT1G21323,666.0
AT5G31884,510.0
AT5G63370,3442.5
AT1G58180,2145.0
AT2G29410,1610.0
AT5G01300,971.0
AT3G60830,2463.0
AT4G36010,2128.5
AT3G19620,2827.0
AT3G25850,777.0
AT2G33710,2163.5
AT1G26680,4286.5
AT5G62200,1848.0
AT3G33197,3120.0
AT1G77280,3825.0
AT4G02317,400.0
AT1G49210,876.0
AT5G49880,5974.0
AT1G48210,3287.0
AT3G18240,3176.0
AT2G32860,3656.0
AT4G19250,687.0
AT5G32473,1481.0
AT5G22608,1409.0
AT2G05660,6579.0
AT1G54700,248.0
AT2G23490,576.0
AT3G44020,1484.0
AT4G33550,693.0
AT1G35710,4211.0
AT4G32490,1006.0
AT1G36085,917.0
AT5G27110,2095.0
AT1G41710,5658.0
AT5G43100,3585.0
AT1G68825,536.5
AT5G63440,2122.0
AT2G45540,15023.0
AT1G40136,5457.0
AT2G41515,2087.0
AT2G13820,2214.0
AT3G07830,1842.0
AT3G57460,2842.0
AT5G36738,357.0
AT1G07490,642.0
AT1G69190,2007.0
AT1G43070,1059.0
AT2G43520,992.0
AT5G33234,3855.0
AT1G02770,1836.0
AT4G31040,2650.0
AT5G32162,1338.0
AT5G24060,3029.0
AT1G80350,2955.0
AT5G59070,2321.0
AT3G14870,2969.0
AT1G80500,2224.0
AT4G13210,3260.5
AT1G71300,4256.0
AT5G52480,1026.0
AT4G15050,1798.0
AT5G63010,1501.0
AT4G31780,3147.0
AT3G28070,3191.0
AT4G10305,448.0
AT2G16730,4564.0
AT2G20080,2135.0
AT1G01680,2179.0
AT2G21790,4601.0
AT2G41750,1193.0
AT1G12650,2079.0
AT1G49750,2160.0
AT1G09960,3231.0
AT3G29160,3486.0
AT1G08065,1808.0
AT1G51500,3554.0
AT2G30940,1753.0
AT3G23350,1317.5
AT2G12420,1946.0
AT3G16460,3248.0
AT2G16860,2864.0
AT3G05570,1238.0
AT1G40071,762.0
AT1G32810,4705.0
AT2G11120,1233.0
AT1G73690,2511.0
AT2G43810,1985.0
AT5G63970,2376.5
AT2G35635,1610.0
AT3G44555,959.0
AT1G08610,2224.0
AT3G19700,3614.0
AT1G19020,704.0
AT5G61340,1472.0
AT4G26320,588.0
AT2G07704,724.0
AT5G62690,2516.0
AT1G30290,2564.5
AT1G42470,8854.0
AT4G13830,1914.0
AT3G60060,788.0
AT3G32305,3178.0
AT4G00335,2538.0
AT4G13360,2876.0
AT1G17360,5114.0
AT1G30000,3403.0
AT3G52120,3254.5
AT5G56390,1484.0
AT4G25740,1628.0
AT3G02330,2889.0
AT5G01090,1597.0
AT4G05330,2634.0
AT5G41000,3076.0
AT5G49610,1471.0
AT4G14510,4474.0
AT1G31140,1819.0
AT1G37063,756.0
AT5G38480,1820.0
AT3G02320,3851.0
AT5G49330,2750.0
AT1G24545,1366.0
AT5G43860,1913.0
AT1G30260,916.0
AT5G17720,1720.0
AT2G43960,1601.0
AT1G63190,1449.0
AT2G07010,4352.0
AT1G15885,821.0
AT1G43171,1439.0
AT2G18196,2154.0
AT1G09270,3892.0
AT1G61470,1211.0
AT4G39140,2724.0
AT3G43825,4482.0
AT2G45860,1088.0
AT1G13470,1485.0
AT3G42935,2305.0
AT5G20520,3560.0
AT3G48400,1912.0
AT1G54160,2117.0
AT4G10843,2150.5
AT5G07165,809.0
AT1G64253,1992.0
AT3G17265,1123.0
AT1G31380,649.0
AT1G77470,2601.0
AT4G38550,2955.0
AT3G45160,838.0
AT4G18350,2392.0
AT1G42080,456.0
AT3G53690,1448.0
AT5G39460,1716.0
AT5G55140,1199.0
AT1G38350,2668.0
ATMG00570,843.0
AT1G63206,1348.0
AT2G46020,9224.0
AT1G73650,2076.0
AT1G33475,1123.5
AT3G32383,3867.0
AT4G22910,3605.0
AT5G13610,2125.0
AT5G05460,3601.0
AT3G59580,3782.0
AT3G30430,345.0
AT2G18760,5599.0
AT1G35120,329.0
AT1G18340,2489.0
AT1G15150,2568.0
AT2G30400,1363.0
AT2G33470,2445.0
AT5G26260,2191.0
AT2G31725,1271.0
AT4G19140,1727.0
AT5G01310,2947.0
AT5G17125,4227.0
AT4G12080,2476.0
AT1G53541,111.0
AT3G47090,3528.0
AT5G36140,1120.0
AT1G78470,1422.0
AT1G58460,1334.0
AT4G28556,1291.5
AT3G43520,1966.0
AT5G13810,1872.0
AT3G57300,8506.0
AT5G53150,3838.5
AT1G31772,1165.5
AT1G13490,1482.0
AT3G45090,4445.5
AT3G04080,3881.0
AT3G23255,1355.0
AT5G58890,885.0
AT2G29140,4610.5
AT2G35770,2520.0
AT1G78190,375.0
AT2G35850,243.0
AT2G39445,1468.0
AT2G32487,1292.0
AT1G20440,2465.0
AT1G11300,3226.5
AT1G22570,2184.0
AT4G13580,955.0
AT2G20805,569.0
AT4G20575,861.0
AT2G07662,1708.0
AT1G08150,3038.0
AT1G02060,2225.0
AT5G51690,2839.0
AT4G31060,1609.0
AT1G58440,3539.0
AT5G56110,1474.0
AT2G24090,1800.0
AT5G07650,5684.5
AT3G25110,2255.0
AT1G50090,2263.0
AT1G27020,2387.0
AT1G74480,1147.0
AT5G19330,4843.0
AT3G62430,2207.0
AT4G14640,2508.0
AT1G55945,593.0
AT1G37180,1235.0
AT1G01335,123.0
AT4G15120,1084.0
AT5G48140,1863.0
AT4G21326,3888.0
AT4G25430,1944.0
AT1G48610,2708.0
AT2G32580,1864.5
AT2G27990,3399.0
AT3G59620,982.5
AT2G19890,2991.0
AT1G15757,338.0
AT1G77760,3764.0
AT4G35120,1212.0
AT4G37170,2245.0
AT4G22790,1819.0
AT2G29300,1481.0
AT1G76420,2240.0
AT1G44414,660.0
AT5G52030,2061.0
AT4G35840,1641.0
AT1G21150,1551.0
AT4G16190,2388.0
AT3G24390,4829.0
AT5G39920,964.0
AT5G10970,819.0
AT2G29850,1670.0
AT3G13820,1396.0
AT4G17380,5265.0
AT3G06840,1181.0
AT5G53950,2151.0
AT5G35917,2006.0
AT5G17430,3088.0
AT5G08130,4177.5
AT4G17905,1152.0
AT2G43570,1352.0
AT5G44230,2499.0
AT2G41280,727.0
AT2G35640,1505.0
AT5G57250,3777.0
AT1G80450,1520.0
AT3G30310,526.0
AT2G16330,930.0
AT3G04184,162.0
AT3G07740,3281.0
AT5G28826,6515.0
AT2G26040,1285.0
AT2G32910,3083.0
AT5G23710,1168.0
AT5G39365,806.0
AT3G31920,6521.0
AT5G62950,1727.0
AT1G10630,2051.5
AT3G27550,2345.0
AT2G26580,3500.5
AT5G32625,1386.0
AT2G38905,471.0
AT5G07510,1122.0
AT5G40550,2401.0
AT2G45630,1181.0
AT2G17972,746.0
AT3G02020,6201.0
AT1G76954,672.0
AT4G21770,2605.5
AT4G34930,1641.0
AT5G53440,4930.5
AT3G59680,2129.0
AT2G24330,2904.0
AT3G54280,12326.5
AT2G31560,1437.0
AT5G16930,3472.0
AT4G14840,2241.0
AT5G03870,1793.0
AT5G19170,2175.0
AT5G36260,3578.0
AT1G63180,2022.0
AT5G26970,583.0
AT5G52350,2708.0
AT4G13270,2013.0
AT2G43670,959.0
AT5G47430,5620.5
AT1G32860,2006.0
AT3G60970,4435.0
AT5G39140,589.0
AT3G42251,717.0
AT3G58560,3636.0
AT3G32033,2430.0
AT1G18860,2601.0
AT1G78922,1061.0
AT2G16018,1484.0
AT3G19250,1787.0
AT2G35930,1705.0
AT4G18680,708.0
AT1G45221,565.0
AT4G01525,889.0
AT1G36630,7481.0
AT1G64660,1951.0
AT3G46710,3021.0
AT5G56360,4874.0
AT5G28880,607.0
AT5G62160,1758.0
AT4G33820,2522.0
AT5G58530,1390.0
AT5G44890,4442.0
AT5G43510,437.0
AT1G53325,507.0
AT1G09665,667.0
AT2G15790,3125.0
AT3G12560,3746.0
AT5G62380,1541.5
AT4G33120,2794.0
AT1G21260,762.0
AT5G01050,2802.0
AT4G40010,2740.0
AT1G05615,764.0
AT1G11130,4312.5
AT3G10090,1306.0
AT5G47225,1243.0
AT4G12680,3253.0
AT4G22460,700.0
AT1G53800,2855.0
AT5G39645,289.0
AT2G07565,1355.0
AT3G26922,1954.0
AT1G72800,1412.0
AT1G05920,1477.0
AT3G07500,1563.0
AT1G22530,3046.0
AT1G10950,5061.0
AT3G61690,6225.0
AT2G39520,809.0
AT4G26415,1639.0
AT2G02220,3605.0
AT5G50660,607.0
AT1G49480,2745.0
AT4G26040,369.0
AT4G23100,4467.0
AT2G01029,10188.0
AT3G19920,2177.0
AT2G31990,2360.0
AT3G56640,3266.0
AT4G17587,1147.0
AT2G02955,2636.0
AT5G49120,839.0
AT2G19970,926.0
AT4G29850,1391.0
AT1G21890,2650.0
AT4G03775,2178.0
AT2G07140,1745.5
AT2G18030,1687.5
AT2G13460,5288.0
AT5G50870,1796.5
AT3G11860,2035.0
AT3G20920,2176.0
AT5G54100,2881.0
AT5G18420,3889.5
AT1G71691,2349.0
AT2G28240,2950.0
AT1G04340,1957.0
AT4G23320,2614.0
AT4G05280,5925.0
AT5G42020,3243.0
AT1G58250,14580.5
AT2G29840,1597.0
AT5G62520,1922.5
AT5G52155,1990.0
AT4G34840,2071.0
AT3G19030,497.0
AT2G21160,2159.0
AT3G57500,788.0
AT1G66770,786.0
AT2G32750,1662.0
AT5G56450,1563.0
AT5G18840,3887.0
AT1G18090,3368.5
AT1G80040,2180.0
AT3G12685,1173.0
AT3G12977,2380.0
AT2G05530,845.5
AT5G03555,2134.0
AT3G47870,1675.0
AT4G37470,1998.0
AT2G44790,1671.0
AT5G27480,2136.0
AT5G51260,1814.5
AT3G24090,3368.0
AT1G43880,1636.0
AT3G15410,4319.0
AT5G47160,2161.0
AT2G27000,1854.0
AT5G23990,3026.0
AT3G56180,1087.0
AT1G17350,2714.0
AT4G18740,1251.5
AT1G51300,1951.0
AT1G09200,764.0
AT3G51040,1685.0
AT1G54923,812.0
AT1G14185,1980.0
AT5G22860,3990.0
AT2G33630,2045.0
AT3G10860,1272.0
AT5G61150,4081.0
AT5G52610,1056.0
AT4G02820,2165.0
AT2G29390,2177.5
AT3G55490,1750.0
AT4G12800,1427.0
AT2G32415,4320.0
AT4G31520,3785.5
AT2G03620,2821.5
AT5G11900,2441.0
AT1G60380,957.0
AT5G60450,4530.0
AT4G05097,549.0
AT3G59090,3579.0
AT3G49760,895.0
AT3G22350,1137.0
AT3G29647,525.0
AT4G36660,1776.0
AT2G17480,3901.0
AT5G41730,2856.5
AT1G73180,3577.0
AT3G26430,4411.0
AT4G23500,2824.0
AT5G67050,1820.0
AT5G04040,3553.5
AT4G00600,1291.0
AT1G10960,854.0
AT3G06750,901.0
AT3G43390,4683.0
AT4G03320,1708.0
AT5G35340,3111.0
AT1G50580,1480.0
AT1G74150,3083.5
AT3G24680,1464.0
AT1G66450,2223.0
AT1G62914,1848.0
AT3G30802,4846.0
AT3G03000,941.0
AT5G39630,1453.0
AT5G67030,3824.5
AT5G37383,2361.0
AT5G18690,965.0
AT5G23300,2818.0
AT2G24460,1062.0
AT4G35180,2767.0
AT2G19150,2481.0
AT1G48050,3615.0
AT4G27435,1750.0
AT2G27570,977.0
AT3G22730,1119.0
AT5G44270,2182.0
AT1G27510,3752.0
AT1G26130,6084.0
AT1G72140,2726.0
AT4G06668,609.0
AT1G49870,3616.5
AT5G40600,3361.0
AT3G29648,2831.0
AT2G19940,3192.0
AT4G10180,2904.0
AT4G39960,2693.0
AT1G44840,2781.0
AT1G33830,1460.0
AT3G25290,1720.0
AT5G20490,9945.0
AT5G48990,1741.0
AT4G38470,4663.0
AT1G14390,2878.0
AT3G07310,2109.0
AT4G02733,1393.0
AT4G34910,3710.0
AT3G60350,4728.0
AT3G48526,1213.0
AT4G37660,775.0
AT2G07185,1119.0
AT4G17470,2102.0
AT4G39170,3141.5
AT5G10840,3210.0
AT5G17170,2057.5
AT1G15260,814.0
AT2G20740,1878.0
AT4G17730,1920.0
AT4G37320,2598.0
AT2G25080,2230.0
AT5G43400,2398.0
AT1G06240,2201.0
AT4G03870,2334.0
AT1G15720,1462.0
AT1G77420,2221.0
AT5G26710,2962.0
AT5G42567,433.0
AT2G35150,1165.0
AT4G36515,922.0
AT1G73140,1814.0
AT1G26815,432.0
AT5G63660,839.0
AT5G08695,5503.0
