Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUSG00000084298	Ensembl Gene Model	MGI:3649937	Gm14331	predicted gene 14331	pseudogene
ENSMUSG00000081578	Ensembl Gene Model	MGI:3650135	Gm12611	predicted gene 12611	pseudogene
ENSMUSG00000006200	Ensembl Gene Model	MGI:1202888	Rhox6	reproductive homeobox 6	protein coding gene
ENSMUSG00000079396	Ensembl Gene Model	MGI:3781589	Gm3411	predicted gene 3411	protein coding gene
ENSMUSG00000027107	Ensembl Gene Model	MGI:87885	Chrna1	cholinergic receptor nicotinic alpha 1 subunit	protein coding gene
ENSMUSG00000064368	old symbol	MGI:102495	mt-Nd6	mitochondrially encoded NADH dehydrogenase 6	protein coding gene
ENSMUSG00000064368	Ensembl Gene Model	MGI:102495	mt-Nd6	mitochondrially encoded NADH dehydrogenase 6	protein coding gene
ENSMUSG00000073060	Ensembl Gene Model	MGI:1921689	Zxda	zinc finger, X-linked, duplicated A	pseudogene
ENSMUSG00000079421	Ensembl Gene Model	MGI:1922104	4930402F06Rik	RIKEN cDNA 4930402F06 gene	protein coding gene
ENSMUSG00000080924	Ensembl Gene Model	MGI:3030912	Or8aa1-ps1	olfactory receptor family 8 subfamily AA member 1, pseudogene 1	pseudogene
ENSMUSG00000017922	Ensembl Gene Model	MGI:1351649	Prl3c1	prolactin family 3, subfamily c, member 1	protein coding gene
ENSMUSG00000101289	Ensembl Gene Model	MGI:3781630	Gm3454	predicted gene 3454	pseudogene
ENSMUSG00000070641	Ensembl Gene Model	MGI:3648382	Gm16410	predicted gene 16410	pseudogene
ENSMUSG00000078698	Ensembl Gene Model	MGI:2684085	Mrgpra3	MAS-related GPR, member A3	protein coding gene
ENSMUSG00000082857	Ensembl Gene Model	MGI:3650726	Gm12293	predicted gene 12293	pseudogene
ENSMUSG00000101367	Ensembl Gene Model	MGI:5580190	Gm29484	predicted gene 29484	pseudogene
ENSMUSG00000014198	Ensembl Gene Model	MGI:3608347	Zfp385c	zinc finger protein 385C	protein coding gene
ENSMUSG00000109318	Ensembl Gene Model	MGI:5009944	Gm17780	predicted gene, 17780	pseudogene
ENSMUSG00000063663	Ensembl Gene Model	MGI:3029414	Brwd3	bromodomain and WD repeat domain containing 3	protein coding gene
ENSMUSG00000069584	old symbol	MGI:3642183	Gm10272	predicted gene 10272	protein coding gene
ENSMUSG00000069584	Ensembl Gene Model	MGI:3642183	Gm10272	predicted gene 10272	protein coding gene
ENSMUSG00000121588		No associated gene			
ENSMUSG00000113934	Ensembl Gene Model	MGI:6098195	Gm48609	predicted gene, 48609	pseudogene
ENSMUSG00000022015	Ensembl Gene Model	MGI:1100089	Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11	protein coding gene
ENSMUSG00000081299	Ensembl Gene Model	MGI:3652202	Gm13603	predicted gene 13603	pseudogene
ENSMUSG00000042250	Ensembl Gene Model	MGI:2686324	Pglyrp4	peptidoglycan recognition protein 4	protein coding gene
ENSMUSG00000114402	Ensembl Gene Model	MGI:6121570	Gm49360	predicted gene, 49360	pseudogene
ENSMUSG00000035765	Ensembl Gene Model	MGI:1918480	Dym	dymeclin	protein coding gene
ENSMUSG00000116490	Ensembl Gene Model	MGI:5826162	Gm46525	predicted gene, 46525	pseudogene
ENSMUSG00000061246	Ensembl Gene Model	MGI:3030221	Or1e27-ps1	olfactory receptor family 1 subfamily E member 27, pseudogene 1	polymorphic pseudogene
ENSMUSG00000040848	Ensembl Gene Model	MGI:1917362	Sft2d2	SFT2 domain containing 2	protein coding gene
ENSMUSG00000114551	Ensembl Gene Model	MGI:3643289	Gm6035	predicted gene 6035	pseudogene
ENSMUSG00000001566	Ensembl Gene Model	MGI:109160	Mnx1	motor neuron and pancreas homeobox 1	protein coding gene
ENSMUSG00000114733	Ensembl Gene Model	MGI:3643439	Gm4815	predicted gene 4815	pseudogene
ENSMUSG00000075269	Ensembl Gene Model	MGI:3588247	Bex6	brain expressed family member 6	protein coding gene
ENSMUSG00000094241	Ensembl Gene Model	MGI:3815052	Ighv1-24	immunoglobulin heavy variable V1-24	gene segment
ENSMUSG00000111071	Ensembl Gene Model	MGI:3031100	Olfr1266-ps1	olfactory receptor 1266, pseudogene 1	pseudogene
ENSMUSG00000110590	Ensembl Gene Model	MGI:3030682	Or7n1-ps1	olfactory receptor family 7 subfamily N member 1, pseudogene 1	pseudogene
ENSMUSG00000075382	Ensembl Gene Model	MGI:3030187	Or1n1b	olfactory receptor family 1 subfamily N member 1B	protein coding gene
ENSMUSG00000027324	Ensembl Gene Model	MGI:1918066	Rpusd2	RNA pseudouridylate synthase domain containing 2	protein coding gene
ENSMUSG00000071657	Ensembl Gene Model	MGI:1298392	Bscl2	BSCL2 lipid droplet biogenesis associated, seipin	protein coding gene
ENSMUSG00000109913	Ensembl Gene Model	MGI:5589853	Gm30694	predicted gene, 30694	pseudogene
ENSMUSG00000116560	Ensembl Gene Model	MGI:3780977	Gm2808	predicted gene 2808	pseudogene
ENSMUSG00000097642	Ensembl Gene Model	MGI:5477360	Gm26866	predicted gene, 26866	pseudogene
ENSMUSG00000092473	Ensembl Gene Model	MGI:3033485	Vmn1r180	vomeronasal 1 receptor 180	protein coding gene
ENSMUSG00000083356	Ensembl Gene Model	MGI:3649475	Gm11708	predicted gene 11708	pseudogene
ENSMUSG00000066438	Ensembl Gene Model	MGI:3036228	Plekhd1	pleckstrin homology domain containing, family D (with coiled-coil domains) member 1	protein coding gene
ENSMUSG00000117931	Ensembl Gene Model	MGI:6303380	Gm50444	predicted gene, 50444	pseudogene
ENSMUSG00000027610	Ensembl Gene Model	MGI:95852	Gss	glutathione synthetase	protein coding gene
ENSMUSG00000098104	Ensembl Gene Model	MGI:3646770	Gm6085	predicted gene 6085	pseudogene
ENSMUSG00000106192	Ensembl Gene Model	MGI:5662955	Gm42818	predicted gene 42818	pseudogene
ENSMUSG00000000392	Ensembl Gene Model	MGI:109608	Fap	fibroblast activation protein	protein coding gene
ENSMUSG00000095978	Ensembl Gene Model	MGI:3649621	Mup-ps11	major urinary protein, pseudogene 11	pseudogene
ENSMUSG00000092370	Ensembl Gene Model	MGI:3757988	Vmn2r-ps58	vomeronasal 2, receptor, pseudogene 58	pseudogene
ENSMUSG00000039795	Ensembl Gene Model	MGI:1913611	Zfand1	zinc finger, AN1-type domain 1	protein coding gene
ENSMUSG00000024068	Ensembl Gene Model	MGI:1858896	Spast	spastin	protein coding gene
ENSMUSG00000103417	Ensembl Gene Model	MGI:5592271	Gm33112	predicted gene, 33112	pseudogene
ENSMUSG00000112381	Ensembl Gene Model	MGI:3644928	Gm8170	predicted gene 8170	pseudogene
ENSMUSG00000024816	Ensembl Gene Model	MGI:1914707	Frmd8	FERM domain containing 8	protein coding gene
ENSMUSG00000036244	Ensembl Gene Model	MGI:1921536	Tbc1d21	TBC1 domain family, member 21	protein coding gene
ENSMUSG00000091752	Ensembl Gene Model	MGI:3781387	Gm3208	predicted gene 3208	pseudogene
ENSMUSG00000033498	Ensembl Gene Model	MGI:2153816	Strc	stereocilin	protein coding gene
ENSMUSG00000054672	Ensembl Gene Model	MGI:2443685	Scart2	scavenger receptor family member expressed on T cells 2	protein coding gene
ENSMUSG00000104644	Ensembl Gene Model	MGI:3780485	Gm2314	predicted gene 2314	pseudogene
ENSMUSG00000038295	Ensembl Gene Model	MGI:2685420	Atg9b	autophagy related 9B	protein coding gene
ENSMUSG00000028572	Ensembl Gene Model	MGI:1925213	Hook1	hook microtubule tethering protein 1	protein coding gene
ENSMUSG00000040710	Ensembl Gene Model	MGI:106018	St8sia4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein coding gene
ENSMUSG00000082652	Ensembl Gene Model	MGI:3705881	Gm14725	predicted gene 14725	pseudogene
ENSMUSG00000036523	Ensembl Gene Model	MGI:2149712	Greb1	gene regulated by estrogen in breast cancer protein	protein coding gene
ENSMUSG00000048996	Ensembl Gene Model	MGI:3031200	Or1f12	olfactory receptor family 1 subfamily F member 12	protein coding gene
ENSMUSG00000115375	Ensembl Gene Model	MGI:6118412	Gm49039	predicted gene, 49039	pseudogene
ENSMUSG00000081209	Ensembl Gene Model	MGI:3802134	Gm14890	predicted gene 14890	pseudogene
ENSMUSG00000102281	Ensembl Gene Model	MGI:4937173	Ighv1-30	immunoglobulin heavy variable 1-30	pseudogenic gene segment
ENSMUSG00000117639	Ensembl Gene Model	MGI:6275312	Gm50018	predicted gene, 50018	pseudogene
ENSMUSG00000078653	Ensembl Gene Model	MGI:1923965	Cntd1	cyclin N-terminal domain containing 1	protein coding gene
ENSMUSG00000096485	Ensembl Gene Model	MGI:3031300	Or5b112	olfactory receptor family 5 subfamily B member 112	protein coding gene
ENSMUSG00000091419	Ensembl Gene Model	MGI:4937084	Gm17450	predicted gene, 17450	pseudogene
ENSMUSG00000034723	Ensembl Gene Model	MGI:106558	Tmx4	thioredoxin-related transmembrane protein 4	protein coding gene
ENSMUSG00000053062	Ensembl Gene Model	MGI:1933820	Jam2	junction adhesion molecule 2	protein coding gene
ENSMUSG00000047257	Ensembl Gene Model	MGI:3605764	Prss45	serine protease 45	protein coding gene
ENSMUSG00000020898	Ensembl Gene Model	MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	protein coding gene
ENSMUSG00000024663	Ensembl Gene Model	MGI:1922010	Rab3il1	RAB3A interacting protein (rabin3)-like 1	protein coding gene
ENSMUSG00000034271	Ensembl Gene Model	MGI:1932093	Jdp2	Jun dimerization protein 2	protein coding gene
ENSMUSG00000031171	Ensembl Gene Model	MGI:1859648	Ftsj1	FtsJ RNA 2'-O-methyltransferase 1	protein coding gene
ENSMUSG00000020454	Ensembl Gene Model	MGI:1921453	Eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1	protein coding gene
ENSMUSG00000067338	Ensembl Gene Model	MGI:1095408	Tuba3b	tubulin, alpha 3B	protein coding gene
ENSMUSG00000060377	old symbol	MGI:3642585	Rpl36a-ps1	ribosomal protein L36A, pseudogene 1	pseudogene
ENSMUSG00000060377	Ensembl Gene Model	MGI:3642585	Rpl36a-ps1	ribosomal protein L36A, pseudogene 1	pseudogene
ENSMUSG00000018459	Ensembl Gene Model	MGI:2149635	Slc13a3	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	protein coding gene
ENSMUSG00000026864	Ensembl Gene Model	MGI:95835	Hspa5	heat shock protein 5	protein coding gene
ENSMUSG00000031521	Ensembl Gene Model	MGI:104873	Aga	aspartylglucosaminidase	protein coding gene
ENSMUSG00000032281	Ensembl Gene Model	MGI:2385656	Acsbg1	acyl-CoA synthetase bubblegum family member 1	protein coding gene
ENSMUSG00000020167	Ensembl Gene Model	MGI:98510	Tcf3	transcription factor 3	protein coding gene
ENSMUSG00000038518	Ensembl Gene Model	MGI:104813	Jarid2	jumonji and AT-rich interaction domain containing 2	protein coding gene
ENSMUSG00000103221	Ensembl Gene Model	MGI:1330351	Sprr2c-ps	small proline-rich protein 2C, pseudogene	pseudogene
ENSMUSG00000106119	Ensembl Gene Model	MGI:5663793	Gm43656	predicted gene 43656	pseudogene
ENSMUSG00000109159	Ensembl Gene Model	MGI:5753233	Gm44657	predicted gene 44657	pseudogene
ENSMUSG00000020712	Ensembl Gene Model	MGI:1923120	Tcam1	testicular cell adhesion molecule 1	protein coding gene
ENSMUSG00000094264	Ensembl Gene Model	MGI:3650584	Gm11320	predicted gene 11320	pseudogene
ENSMUSG00000106846	Ensembl Gene Model	MGI:5662923	Gm42786	predicted gene 42786	pseudogene
ENSMUSG00000040850	Ensembl Gene Model	MGI:2143994	Psme4	proteasome (prosome, macropain) activator subunit 4	protein coding gene
ENSMUSG00000035211	Ensembl Gene Model	MGI:2181647	Xrra1	X-ray radiation resistance associated 1	protein coding gene
ENSMUSG00000115298	Ensembl Gene Model	MGI:5010926	Gm18741	predicted gene, 18741	pseudogene
ENSMUSG00000037108	Ensembl Gene Model	MGI:2685899	Zcwpw1	zinc finger, CW type with PWWP domain 1	protein coding gene
ENSMUSG00000075201	Ensembl Gene Model	MGI:3030877	Or5al7	olfactory receptor family 5 subfamily AL member 7	protein coding gene
ENSMUSG00000096179	Ensembl Gene Model	MGI:3705844	Gm15090	predicted gene 15090	pseudogene
ENSMUSG00000018565	Ensembl Gene Model	MGI:1859017	Elp5	elongator acetyltransferase complex subunit 5	protein coding gene
ENSMUSG00000006456	Ensembl Gene Model	MGI:1929092	Rbm14	RNA binding motif protein 14	protein coding gene
ENSMUSG00000024679	Ensembl Gene Model	MGI:1916024	Ms4a6d	membrane-spanning 4-domains, subfamily A, member 6D	protein coding gene
ENSMUSG00000038773	Ensembl Gene Model	MGI:1923356	Kdm3b	KDM3B lysine (K)-specific demethylase 3B	protein coding gene
ENSMUSG00000016998	Ensembl Gene Model	MGI:98450	Svs4	seminal vesicle secretory protein 4	protein coding gene
ENSMUSG00000058407	Ensembl Gene Model	MGI:2138153	Txndc9	thioredoxin domain containing 9	protein coding gene
ENSMUSG00000080985	Ensembl Gene Model	MGI:3651672	Gm13559	predicted gene 13559	pseudogene
ENSMUSG00000103078	Ensembl Gene Model	MGI:5611129	Gm37901	predicted gene, 37901	pseudogene
ENSMUSG00000049313	Ensembl Gene Model	MGI:1202296	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	protein coding gene
ENSMUSG00000037740	Ensembl Gene Model	MGI:1333830	Mrps26	mitochondrial ribosomal protein S26	protein coding gene
ENSMUSG00000111834	Ensembl Gene Model	MGI:5622905	Gm40020	predicted gene, 40020	pseudogene
ENSMUSG00000049123	Ensembl Gene Model	MGI:1923968	Catsperg2	cation channel sperm associated auxiliary subunit gamma 2	protein coding gene
ENSMUSG00000082462	Ensembl Gene Model	MGI:3705862	Gm15147	predicted gene 15147	pseudogene
ENSMUSG00000081174	Ensembl Gene Model	MGI:3650780	Gm13439	predicted gene 13439	pseudogene
ENSMUSG00000009070	Ensembl Gene Model	MGI:1918486	Rsph14	radial spoke head homolog 14 (Chlamydomonas)	protein coding gene
ENSMUSG00000083272	Ensembl Gene Model	MGI:3651460	Gm12550	predicted gene 12550	pseudogene
ENSMUSG00000035165	Ensembl Gene Model	MGI:1891124	Kcne3	potassium voltage-gated channel, Isk-related subfamily, gene 3	protein coding gene
ENSMUSG00000035936	Ensembl Gene Model	MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	protein coding gene
ENSMUSG00000040952	Ensembl Gene Model	MGI:1333780	Rps19	ribosomal protein S19	protein coding gene
ENSMUSG00000039977	Ensembl Gene Model	MGI:2443026	Deup1	deuterosome assembly protein 1	protein coding gene
ENSMUSG00000070604	Ensembl Gene Model	MGI:1922940	Vsig10l	V-set and immunoglobulin domain containing 10 like	protein coding gene
ENSMUSG00000051716	Ensembl Gene Model	MGI:88931	Apon	apolipoprotein N	protein coding gene
ENSMUSG00000032310	Ensembl Gene Model	MGI:88589	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	protein coding gene
ENSMUSG00000046591	Ensembl Gene Model	MGI:1924261	Ticrr	TOPBP1-interacting checkpoint and replication regulator	protein coding gene
ENSMUSG00000070856	Ensembl Gene Model	MGI:3030949	Or10ag53	olfactory receptor family 10 subfamily AG member 53	protein coding gene
ENSMUSG00000103218	Ensembl Gene Model	MGI:3644317	Gm7270	predicted gene 7270	pseudogene
ENSMUSG00000035451	Ensembl Gene Model	MGI:1347472	Foxa1	forkhead box A1	protein coding gene
ENSMUSG00000021070	Ensembl Gene Model	MGI:102845	Bdkrb2	bradykinin receptor, beta 2	protein coding gene
ENSMUSG00000040734	Ensembl Gene Model	MGI:3525053	Ppp1r13l	protein phosphatase 1, regulatory subunit 13 like	protein coding gene
ENSMUSG00000073879	Ensembl Gene Model	MGI:6723453	Gm54215	predicted gene, 54215	protein coding gene
ENSMUSG00000017376	Ensembl Gene Model	MGI:1201387	Nlk	nemo like kinase	protein coding gene
ENSMUSG00000002980	Ensembl Gene Model	MGI:1929940	Bcam	basal cell adhesion molecule	protein coding gene
ENSMUSG00000082060	Ensembl Gene Model	MGI:3705330	Gm15048	predicted gene 15048	pseudogene
ENSMUSG00000078087	Ensembl Gene Model	MGI:3783241	Rps12l1	ribosomal protein S12-like 1	pseudogene
ENSMUSG00000083089	Ensembl Gene Model	MGI:3647548	Gm4760	predicted gene 4760	pseudogene
ENSMUSG00000096180	Ensembl Gene Model	MGI:3757933	Vmn2r49	vomeronasal 2, receptor 49	protein coding gene
ENSMUSG00000046623	Ensembl Gene Model	MGI:95722	Gjb4	gap junction protein, beta 4	protein coding gene
ENSMUSG00000092504	Ensembl Gene Model	MGI:5141861	Gm20396	predicted gene 20396	pseudogene
ENSMUSG00000082225	Ensembl Gene Model	MGI:3652180	Gm13728	predicted gene 13728	pseudogene
ENSMUSG00000052712	Ensembl Gene Model	MGI:2136782	BC004004	cDNA sequence BC004004	protein coding gene
ENSMUSG00000068814	Ensembl Gene Model	MGI:3030979	Or12e10	olfactory receptor family 12 subfamily E member 10	protein coding gene
ENSMUSG00000109403	Ensembl Gene Model	MGI:3031145	Or4f58	olfactory receptor family 4 subfamily F member 58	protein coding gene
ENSMUSG00000079324	Ensembl Gene Model	MGI:1922971	4932414N04Rik	RIKEN cDNA 4932414N04 gene	protein coding gene
ENSMUSG00000030109	Ensembl Gene Model	MGI:95628	Slc6a12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12	protein coding gene
ENSMUSG00000054746	Ensembl Gene Model	MGI:2388709	Abca15	ATP-binding cassette, sub-family A member 15	protein coding gene
ENSMUSG00000051435	Ensembl Gene Model	MGI:1920323	Fhad1	forkhead-associated phosphopeptide binding domain 1	protein coding gene
ENSMUSG00000112163	Ensembl Gene Model	MGI:3646272	Gm8188	predicted gene 8188	pseudogene
ENSMUSG00000082064	Ensembl Gene Model	MGI:3649355	Rpl5-ps2	ribisomal protein L5, pseudogene 2	pseudogene
ENSMUSG00000112491	Ensembl Gene Model	MGI:5011986	Gm19801	predicted gene, 19801	pseudogene
ENSMUSG00000070796	Ensembl Gene Model	MGI:1891353	Psg21	pregnancy-specific beta-1-glycoprotein 21	protein coding gene
ENSMUSG00000071311	Ensembl Gene Model	MGI:1354372	Gpr31b	G protein-coupled receptor 31, D17Leh66b region	protein coding gene
ENSMUSG00000094320	Ensembl Gene Model	MGI:3649942	Chchd2-ps	coiled-coil-helix-coiled-coil-helix domain containing 2, pseudogene	pseudogene
ENSMUSG00000032477	Ensembl Gene Model	MGI:103198	Cdc25a	cell division cycle 25A	protein coding gene
ENSMUSG00000074115	Ensembl Gene Model	MGI:98221	Saa1	serum amyloid A 1	protein coding gene
ENSMUSG00000048351	Ensembl Gene Model	MGI:1917143	Coa7	cytochrome c oxidase assembly factor 7	protein coding gene
ENSMUSG00000021540	Ensembl Gene Model	MGI:1328787	Smad5	SMAD family member 5	protein coding gene
ENSMUSG00000115216	Ensembl Gene Model	MGI:6118621	Gm49183	predicted gene, 49183	pseudogene
ENSMUSG00000105089	Ensembl Gene Model	MGI:5663854	Gm43717	predicted gene 43717	pseudogene
ENSMUSG00000004996	Ensembl Gene Model	MGI:1915123	Mri1	methylthioribose-1-phosphate isomerase 1	protein coding gene
ENSMUSG00000027463	Ensembl Gene Model	MGI:1916948	Slc52a3	solute carrier protein family 52, member 3	protein coding gene
ENSMUSG00000090806	Ensembl Gene Model	MGI:3761314	Vmn2r70	vomeronasal 2, receptor 70	protein coding gene
ENSMUSG00000002105	Ensembl Gene Model	MGI:1915677	Slc39a13	solute carrier family 39 (metal ion transporter), member 13	protein coding gene
ENSMUSG00000118542	Ensembl Gene Model	MGI:6388888	Gm53002	predicted gene, 53002	pseudogene
ENSMUSG00000102438	Ensembl Gene Model	MGI:5010138	Gm17953	predicted gene, 17953	pseudogene
ENSMUSG00000091788	Ensembl Gene Model	MGI:3645027	Gm8032	predicted gene 8032	pseudogene
ENSMUSG00000042275	Ensembl Gene Model	MGI:2145154	Pelo	pelota mRNA surveillance and ribosome rescue factor	protein coding gene
ENSMUSG00000076918	Ensembl Gene Model	MGI:4439578	Traj11	T cell receptor alpha joining 11	gene segment
ENSMUSG00000046480	Ensembl Gene Model	MGI:2687406	Scn4b	sodium channel, type IV, beta	protein coding gene
ENSMUSG00000083165	Ensembl Gene Model	MGI:3652103	Gm11344	predicted gene 11344	pseudogene
ENSMUSG00000074212	Ensembl Gene Model	MGI:1917854	Dnajb14	DnaJ heat shock protein family (Hsp40) member B14	protein coding gene
ENSMUSG00000115315	Ensembl Gene Model	MGI:2668077	Gnb1-ps2	guanine nucleotide binding protein (G protein), beta 1, pseudogene 2	pseudogene
ENSMUSG00000086936	Ensembl Gene Model	MGI:3780104	Gm9697	predicted gene 9697	pseudogene
ENSMUSG00000081861	Ensembl Gene Model	MGI:3652321	Gm14441	predicted gene 14441	pseudogene
ENSMUSG00000050853	Ensembl Gene Model	MGI:3030792	Or10d3	olfactory receptor family 10 subfamily D member 3	protein coding gene
ENSMUSG00000073877	Ensembl Gene Model	MGI:3713752	Ccl27al	C-C motif chemokine ligand 27A like	protein coding gene
ENSMUSG00000024223	Ensembl Gene Model	MGI:1914895	Armc12	armadillo repeat containing 12	protein coding gene
ENSMUSG00000028917	Ensembl Gene Model	MGI:1916832	Plekhm2	pleckstrin homology domain containing, family M (with RUN domain) member 2	protein coding gene
ENSMUSG00000090222	Ensembl Gene Model	MGI:3840117	Ifi203-ps	interferon activated gene 203, pseudogene	pseudogene
ENSMUSG00000043635	Ensembl Gene Model	MGI:3045353	Adamts3	ADAM metallopeptidase with thrombospondin type 1 motif 3	protein coding gene
ENSMUSG00000023805	Ensembl Gene Model	MGI:1201671	Synj2	synaptojanin 2	protein coding gene
ENSMUSG00000117920	Ensembl Gene Model	MGI:6302915	Gm50155	predicted gene, 50155	pseudogene
ENSMUSG00000101328	Ensembl Gene Model	MGI:3642608	Rpl30-ps6	ribosomal protein L30, pseudogene 6	pseudogene
ENSMUSG00000094181	Ensembl Gene Model	MGI:5433903	Gm21739	predicted gene, 21739	protein coding gene
ENSMUSG00000041735	Ensembl Gene Model	MGI:3650721	AAdacl4fm3	AADACL4 family member 3	protein coding gene
ENSMUSG00000118600	Ensembl Gene Model	MGI:6849064	Gm56303	predicted gene, 56303	protein coding gene
ENSMUSG00000081167	Ensembl Gene Model	MGI:3648900	Gm8880	predicted gene 8880	pseudogene
ENSMUSG00000074183	Ensembl Gene Model	MGI:1095417	Gsta1	glutathione S-transferase, alpha 1 (Ya)	protein coding gene
ENSMUSG00000067716	Ensembl Gene Model	MGI:3643404	Gm7275	predicted gene 7275	pseudogene
ENSMUSG00000018861	Ensembl Gene Model	MGI:104724	Fdxr	ferredoxin reductase	protein coding gene
ENSMUSG00000114735	Ensembl Gene Model	MGI:6097525	Gm48156	predicted gene, 48156	pseudogene
ENSMUSG00000070704	Ensembl Gene Model	MGI:3576103	Ugt2b36	UDP glucuronosyltransferase 2 family, polypeptide B36	protein coding gene
ENSMUSG00000118062	Ensembl Gene Model	MGI:6303367	Gm50435	predicted gene, 50435	pseudogene
ENSMUSG00000107649	Ensembl Gene Model	MGI:5690796	Gm44404	predicted gene, 44404	pseudogene
ENSMUSG00000048655	Ensembl Gene Model	MGI:2444356	Ccdc169	coiled-coil domain containing 169	protein coding gene
ENSMUSG00000118546	Ensembl Gene Model	MGI:5012533	Gm20348	predicted gene, 20348	pseudogene
ENSMUSG00000082594	Ensembl Gene Model	MGI:3705470	Gm15074	predicted gene 15074	pseudogene
ENSMUSG00000084361	Ensembl Gene Model	MGI:3646496	Gm8202	predicted gene 8202	pseudogene
ENSMUSG00000002326	Ensembl Gene Model	MGI:1917903	Gmpr2	guanosine monophosphate reductase 2	protein coding gene
ENSMUSG00000005202	Ensembl Gene Model	MGI:98295	Shbg	sex hormone binding globulin	protein coding gene
ENSMUSG00000018570	Ensembl Gene Model	MGI:1917669	2810408A11Rik	RIKEN cDNA 2810408A11 gene	protein coding gene
ENSMUSG00000034379	Ensembl Gene Model	MGI:1916794	Wdr5b	WD repeat domain 5B	protein coding gene
ENSMUSG00000082104	Ensembl Gene Model	MGI:3801767	Gm15933	predicted gene 15933	pseudogene
